ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Taiyo Birth Photography LLC*|*B20250083153*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1942 JANET AVE*|**|*SAN JOSE*|*CA*|*United States*|*95124*|*1942 JANET AVE*|**|**|*SAN JOSE*|*CA*|*United States*|*95124*|**|**|**|**|**|**|*One Manager*|*
Trendys perfume LLC*|*B20250103598*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*668 TAFT AVE*|**|*EL CAJON*|*CA*|*United States*|*92020*|*668 TAFT AVE*|**|**|*EL CAJON*|*CA*|*United States*|*92020*|**|**|**|**|**|**|*All LLC Member(s)*|*
100 Canada LLC*|*B20250208541*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251473273*|*Jul 15 2025  3:40PM*|*135 MAIN STREET, SUITE 850*|**|*SAN FRANCISCO*|*CA*|*United States*|*94105*|*135 MAIN STREET, SUITE 850*|**|**|*SAN FRANCISCO*|*CA*|*United States*|*94105*|**|**|**|**|**|**|*One Manager*|*Real Estate
100 Grand Plan LLC*|*B20250206542*|*07/14/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*180 GRAND AVENUE, SUITE 310*|**|*OAKLAND*|*CA*|*United States*|*94612*|*180 GRAND AVENUE, SUITE 310*|**|**|*OAKLAND*|*CA*|*United States*|*94612*|*180 GRAND AVENUE, SUITE 310*|**|*OAKLAND*|*CA*|*United States*|*94612*|**|*
1025 Crenshaw Avenue, LP*|*B20250206964*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Partnership - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4201 WILSHIRE BOULEVARD*|*SUITE 310*|*LOS ANGELES*|*CA*|*United States*|*90010*|*4201 WILSHIRE BOULEVARD*|*SUITE 310*|**|*LOS ANGELES*|*CA*|*United States*|*90010*|**|**|**|**|**|**|**|*
10296 Black Mountain Rd 220 LLC*|*B20250206270*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10296 BLACK MOUNTAIN ROAD*|*APT 220*|*SAN DIEGO*|*CA*|*United States*|*92126*|*7833 SCOTTSDALE DRIVE*|**|**|*NEWBURGH*|*IN*|*United States*|*47630*|**|**|**|**|**|**|*All LLC Member(s)*|*
1035 S. Placentia Avenue, LLC*|*B20250208236*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3900 PROSPECT AVENUE*|*UNIT G*|*YORBA LINDA*|*CA*|*United States*|*92886*|*3900 PROSPECT AVENUE*|*UNIT G*|**|*YORBA LINDA*|*CA*|*United States*|*92886*|**|**|**|**|**|**|*All LLC Member(s)*|*
10443 JARDINE STATUTORY TRUST*|*B20250214182*|*07/15/2025*|*WYOMING*|*Active*|*Good*|*Out of State Association*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1718 CAPITOL AVE*|**|*CHEYENNE*|*WY*|*United States*|*82001*|*1718 CAPITOL AVE*|**|**|*CHEYENNE*|*WY*|*United States*|*82001*|**|**|**|**|**|**|**|*
1055 Consulting LLC*|*B20250208410*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251490748*|*Jul 18 2025  9:25AM*|*3361 SIERRA OAKS DR*|**|*SACRAMENTO*|*CA*|*United States*|*95864*|*3361 SIERRA OAKS DR*|**|**|*SACRAMENTO*|*CA*|*United States*|*95864*|*3361 SIERRA OAKS DR*|**|*SACRAMENTO*|*CA*|*United States*|*95864*|*All LLC Member(s)*|*Tech, Aerospace, and Defense Consulting Services
110 S LAUREL AVE LLC*|*B20250209201*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*27 KETCH ST*|*APT 4*|*MARINA DEL REY*|*CA*|*United States*|*90292*|*27 KETCH ST*|*APT 4*|**|*MARINA DEL REY*|*CA*|*United States*|*90292*|**|**|**|**|**|**|*One Manager*|*
11012 Dade, LLC*|*B20250211025*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*16423 SIERRA STREET*|**|*FOUNTAIN VALLEY*|*CA*|*United States*|*92708*|*16423 SIERRA STREET*|**|**|*FOUNTAIN VALLEY*|*CA*|*United States*|*92708*|**|**|**|**|**|**|*More Than One Manager*|*
1121 LLOYD STREET, LLC*|*B20250206368*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251484179*|*Jul 17 2025  9:53AM*|*127 DON LORENZO COURT*|**|*APTOS*|*CA*|*United States*|*95003*|*127 DON LORENZO COURT*|**|**|*APTOS*|*CA*|*United States*|*95003*|*127 DON LORENZO COURT*|**|*APTOS*|*CA*|*United States*|*95003*|*One Manager*|*REAL ESTATE INVESTMENT
11331 Anabel, LLC*|*B20250211011*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*16423 SIERRA STREET*|**|*FOUNTAIN VALLEY*|*CA*|*United States*|*92708*|*16423 SIERRA STREET*|**|**|*FOUNTAIN VALLEY*|*CA*|*United States*|*92708*|**|**|**|**|**|**|*All LLC Member(s)*|*
1156 Tarpon Court LLC*|*B20250209662*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251494558*|*Jul 18 2025  4:35PM*|*2230 CRYSTAL DR*|**|*SANTA MARIA*|*CA*|*United States*|*93455*|*2230 CRYSTAL DR*|**|**|*SANTA MARIA*|*CA*|*United States*|*93455*|**|**|**|**|**|**|*More Than One Manager*|*Other Activities Related to Real Estate
11707 Sacramento Street, LLC*|*B20250210861*|*07/16/2025*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*899 ADAMS STREET*|*SUITE E*|*ST. HELENA*|*CA*|*United States*|*94574*|*899 ADAMS STREET*|*SUITE E*|**|*ST. HELENA*|*CA*|*United States*|*94574*|*899 ADAMS STREET*|*SUITE E*|*ST. HELENA*|*CA*|*United States*|*94574*|**|*
1184 Dektos Ministries*|*B20250194007*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*355 SAINT VINCENT*|**|*IRVINE*|*CA*|*United States*|*92618*|*355 SAINT VINCENT*|**|**|*IRVINE*|*CA*|*United States*|*92618*|**|**|**|**|**|**|**|*
11855 Maple, LLC*|*B20250209819*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*15957 CARMENIA DRIVE*|**|*WHITTIER*|*CA*|*United States*|*90603*|*15957 CARMENIA DRIVE*|**|**|*WHITTIER*|*CA*|*United States*|*90603*|**|**|**|**|**|**|*All LLC Member(s)*|*
1201 Hanover Ave Los Angeles 90022 LLC*|*B20250209356*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2785 PACIFIC COAST HWY, SUITE 275*|**|*TORRANCE*|*CA*|*United States*|*90505*|*2785 PACIFIC COAST HWY, SUITE 275*|**|**|*TORRANCE*|*CA*|*United States*|*90505*|**|**|**|**|**|**|*More Than One Manager*|*
1201 JC, LLC*|*B20250207906*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*963 W AVENUE J*|**|*LANCASTER*|*CA*|*United States*|*93534*|*963 W AVENUE J*|**|**|*LANCASTER*|*CA*|*United States*|*93534*|**|**|**|**|**|**|*One Manager*|*
1205-1207 SANCHEZ ST. HOMEOWNERS ASSOCIATION*|*B20250210517*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Unincorporated Common Interest Development*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
1232 Keel, LLC*|*B20250206437*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251491727*|*Jul 18 2025 11:05AM*|*23986 ALISO CREEK RD., #112*|**|*LAGUNA NIGUEL*|*CA*|*United States*|*92677*|*23986 ALISO CREEK RD., #112*|**|**|*LAGUNA NIGUEL*|*CA*|*United States*|*92677*|*23986 ALISO CREEK RD., #112*|**|*LAGUNA NIGUEL*|*CA*|*United States*|*92677*|*One Manager*|*Real estate
1246 Morningside Way LLC*|*B20250211751*|*07/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251487031*|*Jul 17 2025  2:26PM*|*12275 EL CAMINO REAL*|*SUITE 100*|*SAN DIEGO*|*CA*|*United States*|*92130*|*12275 EL CAMINO REAL*|*SUITE 100*|**|*SAN DIEGO*|*CA*|*United States*|*92130*|*12275 EL CAMINO REAL*|*SUITE 100*|*SAN DIEGO*|*CA*|*United States*|*92130*|*One Manager*|*Real Estate Management
12590 San Pablo Ave, LLC*|*B20250208550*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*890 LASSEN ST*|**|*RICHMOND*|*CA*|*United States*|*94805*|*890 LASSEN ST*|**|**|*RICHMOND*|*CA*|*United States*|*94805*|**|**|**|**|**|**|*All LLC Member(s)*|*
1298 CROMWELL STREET LLC*|*B20250210066*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9681 SUTHERLAND WAY*|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|*9681 SUTHERLAND WAY*|**|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|**|**|**|**|**|**|*More Than One Manager*|*
1326 Bruce Court LLC*|*B20250207075*|*07/14/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1309 COFFEEN AVENUE*|*STE 1200*|*SHERIDAN*|*WY*|*United States*|*82801*|*1309 COFFEEN AVENUE STE 1200*|*STE 1200*|**|*SHERIDAN*|*WY*|*United States*|*82801*|*4335 CANTERBURY ROAD*|**|*RIVERSIDE*|*CA*|*United States*|*92504*|**|*
1327 Broadway LLC*|*B20250208956*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8752 HOLLOWAY DRIVE*|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|*8752 HOLLOWAY DRIVE*|**|**|*WEST HOLLYWOOD*|*CA*|*United States*|*90069*|**|**|**|**|**|**|*One Manager*|*
133 Drumbeat LLC*|*B20250208912*|*07/15/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251496446*|*Jul 19 2025  2:36PM*|*1040 OAK GROVE AVENUE*|**|*SAN MARINO*|*CA*|*United States*|*91108*|*1040 OAK GROVE AVENUE*|**|**|*SAN MARINO*|*CA*|*United States*|*91108*|**|**|**|**|**|**|*One Manager*|*Real estate holdings
134 Flavors Z B Enterprise*|*B20250209777*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251493075*|*Jul 18 2025  1:31PM*|*10028 NITA AVE*|**|*CHATSWORTH*|*CA*|*United States*|*91311*|*10028 NITA AVE*|**|**|*CHATSWORTH*|*CA*|*United States*|*91311*|**|**|**|**|**|**|**|*Ice Cream Shop
1340 Calle Duranzo, LLC*|*B20250205915*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1351 BLUESAIL CIRCLE*|**|*WESTLAKE VILLAGE*|*CA*|*United States*|*91361*|*1351 BLUESAIL CIRCLE*|**|**|*WESTLAKE VILLAGE*|*CA*|*United States*|*91361*|**|**|**|**|**|**|*More Than One Manager*|*
1348 Melton & Associates LLC*|*B20250214796*|*07/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2108 N ST STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST STE N*|**|**|*SACRAMENTO*|*CA*|*United States*|*95816*|**|**|**|**|**|**|*All LLC Member(s)*|*
135 Flavors Z B Enterprise*|*B20250209794*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10028 NITA AVE*|**|*CHATSWORTH*|*CA*|*United States*|*91311*|*10028 NITA AVE*|**|**|*CHATSWORTH*|*CA*|*United States*|*91311*|**|**|**|**|**|**|**|*
1405 EAGLE PARK ROAD LLC*|*B20250210071*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9681 SUTHERLAND WAY*|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|*9681 SUTHERLAND WAY*|**|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|**|**|**|**|**|**|*More Than One Manager*|*
1409 Properties LLC*|*B20250206712*|*07/14/2025*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20251485588*|*Jul 17 2025 12:07PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|**|*Any lawful purpose
14094 Lakeshore LLC*|*B20250209899*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3921 OAK DRIVE*|**|*CLEARLAKE*|*CA*|*United States*|*95422*|*3921 OAK DRIVE*|**|**|*CLEARLAKE*|*CA*|*United States*|*95422*|**|**|**|**|**|**|*One Manager*|*
1412 EL CENTRO AVENUE LLC*|*B20250206870*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*301 E WASHINGTON AVE*|*STE F*|*ESCONDIDO*|*CA*|*United States*|*92025*|*301 E WASHINGTON AVE*|*STE F*|**|*ESCONDIDO*|*CA*|*United States*|*92025*|**|**|**|**|**|**|*One Manager*|*
1416 W 6TH STREET LLC*|*B20250210016*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9681 SUTHERLAND WAY*|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|*9681 SUTHERLAND WAY*|**|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|**|**|**|**|**|**|*More Than One Manager*|*
14221 OLIVE STREET LLC*|*B20250210031*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9681 SUTHERLAND WAY*|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|*9681 SUTHERLAND WAY*|**|**|*GARDEN GROVE*|*CA*|*United States*|*92844*|**|**|**|**|**|**|*More Than One Manager*|*
14311 Chadron Ave, LLC*|*B20250209582*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*283 SAN REMO STREET*|**|*PALM DESERT*|*CA*|*United States*|*92260*|*283 SAN REMO STREET*|**|**|*PALM DESERT*|*CA*|*United States*|*92260*|**|**|**|**|**|**|*One Manager*|*
14768 PIPELINE LLC*|*B20250206610*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3154 EAST PASTIME STREET*|**|*ONTARIO*|*CA*|*United States*|*91762*|*3154 EAST PASTIME STREET*|**|**|*ONTARIO*|*CA*|*United States*|*91762*|**|**|**|**|**|**|*One Manager*|*
14935 Greenleaf St LLC*|*B20250206746*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*21200 OXNARD ST*|*627*|*WOODLAND HILLS*|*CA*|*United States*|*91365*|*21200 OXNARD ST*|*627*|**|*WOODLAND HILLS*|*CA*|*United States*|*91365*|**|**|**|**|**|**|*One Manager*|*
1509 GRAMERCY PLACE HOMEOWNERS' ASSOCIATION*|*B20250212248*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Mutual Benefit - Common Interest Development Corporation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5402 SANCHEZ DR*|**|*LOS ANGELES*|*CA*|*United States*|*90008*|*5402 SANCHEZ DR*|**|**|*LOS ANGELES*|*CA*|*United States*|*90008*|**|**|**|**|**|**|**|*
16030 Timberhill LLC*|*B20250206858*|*07/14/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251487377*|*Jul 17 2025  2:54PM*|*333 W. BROADWAY*|*# 105*|*LONG BEACH*|*CA*|*United States*|*90802*|*333 W. BROADWAY*|*# 105*|**|*LONG BEACH*|*CA*|*United States*|*90802*|*333 W. BROADWAY*|*# 105*|*LONG BEACH*|*CA*|*United States*|*90802*|*More Than One Manager*|*Real Estate Investment
16049 Tuba LLC*|*B20250210213*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*16049 TUBA ST.*|**|*NORTH HILLS*|*CA*|*United States*|*91343*|*16049 TUBA ST.*|**|**|*NORTH HILLS*|*CA*|*United States*|*91343*|**|**|**|**|**|**|*One Manager*|*
165 CENTER ST LLC*|*B20250210235*|*07/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251479913*|*Jul 16 2025  2:27PM*|*3210 LAUREL HILL LANE*|**|*SHAFTER*|*CA*|*United States*|*93263*|*8200 STOCKDALE HWY., STE. M10-113*|**|**|*BAKERSFIELD*|*CA*|*United States*|*93311*|*3210 LAUREL HILL LANE*|**|*SHAFTER*|*CA*|*United States*|*93263*|*One Manager*|*REAL PROPERTY INVESTMENT
