ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Asphalt Angels*|*B20250129779*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1082 HUNTRIDGE RD*|**|*SANTA ANA*|*CA*|*United States*|*92705*|*1082 HUNTRIDGE RD*|**|**|*SANTA ANA*|*CA*|*United States*|*92705*|**|**|**|**|**|**|**|*
Bantaman, Inc.*|*B20250141249*|*06/21/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2201 PACIFIC AVE.*|**|*MANHATTAN BEACH*|*CA*|*United States*|*90266*|*10 BROOK STREET, SUITE 235*|**|**|*ASHEVILLE*|*NC*|*United States*|*28803*|**|**|**|**|**|**|**|*
BEAUMONT BANNING NEPALI COMMUNITY*|*B20250147941*|*06/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1447 WHITE DWARF DR*|**|*BEAUMONT*|*CA*|*United States*|*92223*|*1447 WHITE DWARF DR*|**|**|*BEAUMONT*|*CA*|*United States*|*92223*|**|**|**|**|**|**|**|*
Bistro By The Bay Inc.*|*B20250118697*|*06/20/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*675 YGNACIO VALLEY ROAD*|*B201*|*WALNUT CREEK*|*CA*|*United States*|*94596*|*675 YGNACIO VALLEY ROAD SUITE B201*|*B201*|**|*WALNUT CREEK*|*CA*|*United States*|*94596*|**|**|**|**|**|**|**|*
Brilliant Skin Medspa Inc*|*B20250141885*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2550 E AMAR ROAD*|*UNIT A-1D*|*WEST COVINA*|*CA*|*United States*|*91792*|*2550 E AMAR ROAD*|*UNIT A-1D*|**|*WEST COVINA*|*CA*|*United States*|*91792*|**|**|**|**|**|**|**|*
Cachi's Early Education Corner*|*B20250111363*|*06/20/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2320 CALLE MELENO*|**|*FULLERTON*|*CA*|*United States*|*92833*|*2320 CALLE MELENO*|**|**|*FULLERTON*|*CA*|*United States*|*92833*|**|**|**|**|**|**|**|*
CAFE NILOUFER LLC*|*B20250111344*|*06/20/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*43555 GRIMMER BLVD #I273*|**|*FREMONT*|*CA*|*United States*|*94538*|*43555 GRIMMER BLVD #I273*|**|**|*FREMONT*|*CA*|*United States*|*94538*|**|**|**|**|**|**|*One Manager*|*
Cai Holdings*|*B20250150369*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*312 SOUTH VAN BUREN STREET*|**|*PLACENTIA*|*CA*|*United States*|*92870*|*312 SOUTH VAN BUREN STREET*|**|**|*PLACENTIA*|*CA*|*United States*|*92870*|**|**|**|**|**|**|**|*
California Professional Property Inspection LLC*|*B20250145341*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*986 ROSE AVE*|**|*REDWOOD CITY*|*CA*|*United States*|*94063*|*986 ROSE AVE*|**|**|*REDWOOD CITY*|*CA*|*United States*|*94063*|**|**|**|**|**|**|*One Manager*|*
Cask & Coast Spirits Co. Inc.*|*B20250132977*|*06/16/2025*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*14643 VIA BETTONA*|**|*SAN DIEGO*|*CA*|*United States*|*92127*|*14643 VIA BETTONA*|**|**|*SAN DIEGO*|*CA*|*United States*|*92127*|*14643 VIA BETTONA*|**|*SAN DIEGO*|*CA*|*United States*|*92127*|**|*
Chopra Law Group, P.C.*|*B20250131457*|*06/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5468 FELICIA AVE*|**|*LIVERMORE*|*CA*|*United States*|*94550*|*5468 FELICIA AVE*|**|**|*LIVERMORE*|*CA*|*United States*|*94550*|**|**|**|**|**|**|**|*
Chris Handley Investment Fund, LLC*|*B20250076104*|*06/17/2025*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*411 W. LAFAYETTE BLVD*|*FLOOR 2*|*DETROIT*|*MI*|*United States*|*48226*|*60 29TH STREET*|*528*|**|*SAN FRANCISCO*|*CA*|*United States*|*94110*|*60 29TH STREET*|*528*|*SAN FRANCISCO*|*CA*|*United States*|*94110*|**|*
Claremont Montessori Academy, SPC*|*B20250122614*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Social Purpose*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1091 NORTHWESTERN DR*|**|*CLAREMONT*|*CA*|*United States*|*91711*|*140 HARVARD AVE*|*STE. 1868*|**|*CLAREMONT*|*CA*|*United States*|*91711-8868*|**|**|**|**|**|**|**|*
Claudia Taco Truck LLC*|*B20250146990*|*06/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9530 BROADWAY ST*|**|*PLANADA*|*CA*|*United States*|*95365*|*PO BOX 1025*|**|**|*PLANADA*|*CA*|*United States*|*95365*|**|**|**|**|**|**|*One Manager*|*
Clean Blue Sky LLC*|*B20250086170*|*06/22/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*23815 BLUE RIDGE PLACE*|**|*MORENO VALLEY*|*CA*|*United States*|*92557*|*23815 BLUE RIDGE PLACE*|**|**|*MORENO VALLEY*|*CA*|*United States*|*92557*|**|**|**|**|**|**|*More Than One Manager*|*
Desert Elite Athletics LLC*|*B20250139651*|*06/20/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*40627 KINSALE PL*|**|*INDIO*|*CA*|*United States*|*92203*|*40627 KINSALE PL*|**|**|*INDIO*|*CA*|*United States*|*92203*|**|**|**|**|**|**|*One Manager*|*
Downey Motors LLC*|*B20250058303*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8060 FLORENCE AVE*|*204 B*|*DOWNEY*|*CA*|*United States*|*90240*|*8060 FLORENCE AVE*|*204 B*|**|*DOWNEY*|*CA*|*United States*|*90240*|**|**|**|**|**|**|*One Manager*|*
Dynasty Accounting LLC*|*B20250140676*|*06/18/2025*|*FLORIDA*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2748 E COMMERCIAL BLVD*|**|*FORT LAUDERDALE*|*FL*|*United States*|*33308*|*2748 E COMMERCIAL BLVD*|**|**|*FORT LAUDERDALE*|*FL*|*United States*|*33308*|*2220 AVENUE OF THE STARS*|*#1703*|*LOS ANGELES*|*CA*|*United States*|*90067*|**|*
EAA Builders LLC*|*B20250125248*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3557 BREEZE CT*|**|*PERRIS*|*CA*|*United States*|*92571*|*3557 BREEZE CT*|**|**|*PERRIS*|*CA*|*United States*|*92571*|**|**|**|**|**|**|*One Manager*|*
ELOY SERVICES INC*|*B20250150292*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251326517*|*Jun 21 2025  9:31AM*|*1815 N SERRANO AVE*|*202*|*LOS ANGELES*|*CA*|*United States*|*90027*|*1815 N SERRANO AVE*|*202*|**|*LOS ANGELES*|*CA*|*United States*|*90027*|**|**|**|**|**|**|**|*VOCATIONAL NURSE
Everstar AI Inc.*|*B20250133126*|*06/16/2025*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|*EVERSTAR INC.*|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4610 CENTER BOULEVARD, APT 530*|**|*QUEENS*|*NY*|*United States*|*11109*|*56 BROAD ST STE 14029*|**|**|*BOSTON*|*MA*|*United States*|*02109*|**|**|**|**|**|**|**|*
Everstead Nursing Corp*|*B20250134298*|*06/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5011 ARGOSY AVE*|*STE 1*|*HUNTINGTON BEACH*|*CA*|*United States*|*92649*|*5011 ARGOSY AVE*|*STE 1*|**|*HUNTINGTON BEACH*|*CA*|*United States*|*92649*|**|**|**|**|**|**|**|*
Evolve Energy Inc.*|*B20250149643*|*06/16/2025*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2257 MAROEL DR*|**|*SAN JOSE*|*CA*|*United States*|*95130*|*2257 MAROEL DR*|**|**|*SAN JOSE*|*CA*|*United States*|*95130*|*2257 MAROEL DR*|**|*SAN JOSE*|*CA*|*United States*|*95130*|**|*
Fire & Roots, LLC*|*B20250149883*|*06/16/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*30 BLACKWOOD ROAD*|**|*BOULEVARD*|*CA*|*United States*|*91905*|*P.O.BOX 1331*|**|**|*BOULEVARD*|*CA*|*United States*|*91905*|**|**|**|**|**|**|*All LLC Member(s)*|*
Flora Design Studio LLC*|*B20250150778*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1218 N HARBOR*|**|*SANTA ANA*|*CA*|*United States*|*92703*|*1218 N HARBOR*|**|**|*SANTA ANA*|*CA*|*United States*|*92703*|**|**|**|**|**|**|*More Than One Manager*|*
Form and Function IV and Aesthetics DO, PC*|*B20250141107*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*11966 JACK BENNY DR STE 101*|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91739*|*PO BOX 2595*|**|**|*RANCHO CUCAMONGA*|*CA*|*United States*|*91729*|**|**|**|**|**|**|**|*
Fuego Floors LLC*|*B20250151186*|*06/17/2025*|*NEVADA*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5434 LEON DR*|**|*SUN VALLEY*|*NV*|*United States*|*89433*|*5434 LEON DR*|**|**|*SUN VALLEY*|*NV*|*United States*|*89433*|*10105 MARTIS VALLEY RD*|**|*TRUCKEE*|*CA*|*United States*|*96161*|**|*
Gasrunner Inc*|*B20250141308*|*06/20/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*403 S 38TH STREET*|**|*RICHMOND*|*CA*|*United States*|*94804*|*403 S 38TH STREET*|**|**|*RICHMOND*|*CA*|*United States*|*94804*|**|**|**|**|**|**|**|*
Gateway Financial Advisors, LLC*|*B20250149186*|*06/18/2025*|*MISSOURI*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6000 UPTOWN BLVD NE*|*SUITE 100*|*ALBUQUERQUE*|*NM*|*United States*|*87112*|*6000 UPTOWN BLVD NE*|*SUITE 100*|**|*ALBUQUERQUE*|*NM*|*United States*|*87110*|*2010 CROW CANYON PLACE*|*SUITE 100*|*SAN RAMON*|*CA*|*United States*|*94568*|**|*
Golden State Renovators LLC*|*B20250150235*|*06/20/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20251331024*|*Jun 22 2025 10:27PM*|*4024 FAIRWEATHER WAY*|**|*ROSEVILLE*|*CA*|*United States*|*95747*|*4024 FAIRWEATHER WAY*|**|**|*ROSEVILLE*|*CA*|*United States*|*95747*|**|**|**|**|**|**|*All LLC Member(s)*|*Fix and Flip of real estate
HealthChat LLC*|*B20250131433*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*31852 VIA PATITO*|**|*TRABUCO CANYON*|*CA*|*United States*|*92679*|*31852 VIA PATITO*|**|**|*TRABUCO CANYON*|*CA*|*United States*|*92679*|**|**|**|**|**|**|*One Manager*|*
Hope Mission Philippines*|*B20250146975*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*919 WIGET LANE*|**|*WALNUT CREEK*|*CA*|*United States*|*94598*|*919 WIGET LANE*|**|**|*WALNUT CREEK*|*CA*|*United States*|*94598*|**|**|**|**|**|**|**|*
Humaniti Inc.*|*B20250141160*|*06/18/2025*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3516 SADDLEBROOK PLACE*|**|*DUBLIN*|*CA*|*United States*|*94568*|*3516 SADDLEBROOK PLACE*|**|**|*DUBLIN*|*CA*|*United States*|*94568*|**|**|**|**|**|**|**|*
IFWT LP*|*B20250150212*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Partnership - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4900 SANTA ANITA AVE.*|*SUITE 2C*|*EL MONTE*|*CA*|*United States*|*91731*|*155 N. LAKE AVENUE*|*700*|**|*PASADENA*|*CA*|*United States*|*91101*|**|**|**|**|**|**|**|*
IronBridge Wealth Counsel, LLC*|*B20250147130*|*06/16/2025*|*DELAWARE*|*Active - Pending Future Effective Date*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4425 SOUTH MOPAC BUILDING II*|*SUITE 204*|*AUSTIN*|*TX*|*United States*|*78735*|*4425 SOUTH MOPAC BUILDING II*|*SUITE 204*|**|*AUSTIN*|*TX*|*United States*|*78735*|*90 NEW MONTGOMERY STREET*|*SUITE 1020*|*SAN FRANCISCO*|*CA*|*United States*|*94105*|**|*
James Busch Woodworks LLC*|*B20250123695*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2202 HIGHLAND DRIVE*|**|*CARLSBAD*|*CA*|*United States*|*92008*|*2202 HIGHLAND DRIVE*|**|**|*CARLSBAD*|*CA*|*United States*|*92008*|**|**|**|**|**|**|*One Manager*|*
JH 503 PRESSURE WASHING INC*|*B20250146932*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1459 E SAGINAW WAY*|*B*|*FRESNO*|*CA*|*United States*|*93704*|*1459 E SAGINAW WAY*|*B*|**|*FRESNO*|*CA*|*United States*|*93704*|**|**|**|**|**|**|**|*
Joyful Art Healing LLC*|*B20250135229*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*655 CASTRO STREET*|**|*MOUNTAIN VIEW*|*CA*|*United States*|*94041*|*149 MERCY ST*|**|**|*MOUNTAIN VIEW*|*CA*|*United States*|*94041*|**|**|**|**|**|**|*All LLC Member(s)*|*
Justice Pathway Solutions*|*B20250135009*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4513 ORCHID DR*|**|*LOS ANGELES*|*CA*|*United States*|*90043-3320*|*4513 ORCHID DRIVE*|**|**|*LOS ANGELES*|*CA*|*United States*|*90043*|**|**|**|**|**|**|**|*
Keelan K. O'Connell Psychiatry PC*|*B20250143166*|*06/19/2025*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1883 WEST ROYAL HUNTE DRIVE, SUITE 200A*|**|*CEDAR CITY*|*UT*|*United States*|*84720*|*1883 WEST ROYAL HUNTE DRIVE, SUITE 200A*|**|**|*CEDAR CITY*|*UT*|*United States*|*84720*|**|**|**|**|**|**|**|*
Lady In White Housekeeping Service, Inc.*|*B20250147514*|*06/18/2025*|*NEW JERSEY*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1525 HIGH HILL RD*|**|*SWEDESBORO*|*NJ*|*United States*|*08085*|*14081 BRANT POINT CIRCLE*|*APT 542*|**|*FORT MYERS*|*FL*|*United States*|*33919-7747*|*3778 PARK BLVD*|*APT 4*|*SAN DIEGO*|*CA*|*United States*|*92103*|**|*
LG&LL LLC*|*B20250130914*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2101 S STATE STREET*|*47*|*UKIAH*|*CA*|*United States*|*95482*|*2101 S STATE STREET*|*47*|**|*UKIAH*|*CA*|*United States*|*95482*|**|**|**|**|**|**|*More Than One Manager*|*
LLC Saasil Transform & Empower Families*|*B20250138887*|*06/18/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9235 COKER RD*|*APT C*|*SALINAS*|*CA*|*United States*|*93907*|*9235 COKER RD*|*APT C*|**|*SALINAS*|*CA*|*United States*|*93907*|**|**|**|**|**|**|*One Manager*|*
MAKIA MARKETING AGENCY LLC*|*B20250141972*|*06/17/2025*|*WYOMING*|*Terminated*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|*2025-06-23 00:00:00.000*|**|*Jan  1 1900 12:00AM*|*1309 COFFEEN AVENUE*|*STE 1200*|*SHERIDAN*|*WY*|*United States*|*82801*|*1309 COFFEEN AVENUE*|*STE 1200*|**|*SHERIDAN*|*WY*|*United States*|*82801*|*2108 N ST*|*STE C*|*SACRAMENTO*|*CA*|*United States*|*95816*|**|*
MARTINEZ'SFAMILY INVESTMENTS, LLC.*|*B20250151401*|*06/17/2025*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*41441 152ND STREET*|*E*|*LANCASTER*|*CA*|*United States*|*93535*|*41441 152ND STREET*|*E*|**|*LANCASTER*|*CA*|*United States*|*93535*|**|**|**|**|**|**|*More Than One Manager*|*
